City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Abnub,EG,73.62,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
1,Albany,US,69.26,scattered clouds,42.6001,-73.9662,
4,Barbosa Ferraz,BR,74.43,clear sky,-24.03,-52.0117,Edicula Sanches
5,Port Alfred,ZA,69.19,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
10,Hermanus,ZA,66.79,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Robertson,US,77.04,scattered clouds,36.5167,-86.8667,Hampton Inn Springfield
18,Jamestown,US,71.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
23,Victoria,HK,72.32,overcast clouds,22.2855,114.1577,Mini Central
24,Castro,BR,65.64,clear sky,-24.7911,-50.0119,CHACARA BAILLY
26,Sambava,MG,72.86,broken clouds,-14.2667,50.1667,Melrose
30,Port Elizabeth,ZA,72.1,few clouds,-33.918,25.5701,39 On Nile Guest House
33,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
36,Kruisfontein,ZA,69.89,few clouds,-34.0033,24.7314,Oyster Bay House Rental
46,Freeport,US,72.01,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
52,Soyo,AO,78.98,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
53,Westerly,US,72.99,clear sky,41.3776,-71.8273,La Quinta Inn & Suites by Wyndham Stonington-Mystic Area
55,Concepcion Del Uruguay,AR,77.99,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
61,Jalu,LY,68.0,few clouds,29.0331,21.5482,صاحبة الفخامة
62,Cape Town,ZA,70.21,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
65,Guarapari,BR,72.9,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
70,Bamboo,JM,76.96,scattered clouds,18.3922,-77.2643,The Retreat
72,Umm Lajj,SA,78.24,broken clouds,25.0213,37.2685,Moon light Furnished Units
75,Inhambane,MZ,75.88,scattered clouds,-23.865,35.3833,Oceano
77,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
78,Tirthahalli,IN,72.16,broken clouds,13.7,75.2333,Ashoka Lodge
87,Meulaboh,ID,75.36,overcast clouds,4.1363,96.1285,Kost Pria
88,Uaua,BR,69.06,moderate rain,-9.8414,-39.4817,Hotel Uauá
89,Buraydah,SA,75.65,broken clouds,26.326,43.975,Mövenpick Qassim
98,Maldonado,UY,69.19,scattered clouds,-34.6667,-54.9167,La Cimarrona
101,Puerto Ayora,EC,73.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
105,Ouesso,CG,71.26,overcast clouds,1.6136,16.0517,ABENIE Hotel
111,East London,ZA,68.94,few clouds,-33.0153,27.9116,Tu Casa
112,Kalmunai,LK,78.49,moderate rain,7.4167,81.8167,VS Villa
115,Kantang,TH,75.38,light rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
118,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Alize Plage
