City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Abnub,EG,2022-11-04 17:31:21,27.2696,31.1511,73.62,36,0,10.25,clear sky
1,Albany,US,2022-11-04 17:31:21,42.6001,-73.9662,69.26,55,29,3.0,scattered clouds
2,Krutinka,RU,2022-11-04 17:31:21,56.0055,71.5113,34.36,95,100,17.85,snow
3,Qaanaaq,GL,2022-11-04 17:31:21,77.484,-69.3632,18.93,66,100,7.63,overcast clouds
4,Barbosa Ferraz,BR,2022-11-04 17:31:21,-24.03,-52.0117,74.43,45,0,2.73,clear sky
5,Port Alfred,ZA,2022-11-04 17:31:21,-33.5906,26.891,69.19,89,82,1.99,broken clouds
6,Tasiilaq,GL,2022-11-04 17:31:21,65.6145,-37.6368,30.36,83,100,17.85,light snow
7,Berlevag,NO,2022-11-04 17:31:21,70.8578,29.0864,41.0,81,75,6.91,broken clouds
8,Dikson,RU,2022-11-04 17:31:21,73.5069,80.5464,20.57,96,98,4.9,overcast clouds
9,Fort Frances,CA,2022-11-04 17:31:21,48.5999,-93.4003,33.17,75,40,9.22,scattered clouds
10,Hermanus,ZA,2022-11-04 17:31:21,-34.4187,19.2345,66.79,80,17,15.52,few clouds
11,Punta Arenas,CL,2022-11-04 17:31:21,-53.15,-70.9167,57.31,72,75,17.27,broken clouds
12,Robertson,US,2022-11-04 17:31:21,36.5167,-86.8667,77.04,55,40,11.5,scattered clouds
13,Longyearbyen,SJ,2022-11-04 17:31:21,78.2186,15.6401,28.24,86,75,8.05,broken clouds
14,Tazovskiy,RU,2022-11-04 17:31:21,67.4667,78.7,12.15,95,99,8.99,overcast clouds
15,Upernavik,GL,2022-11-04 17:31:21,72.7868,-56.1549,27.97,89,100,11.05,overcast clouds
16,Ushuaia,AR,2022-11-04 17:31:21,-54.8,-68.3,49.66,71,100,13.8,overcast clouds
17,Vilhena,BR,2022-11-04 17:31:21,-12.7406,-60.1458,80.82,36,0,10.36,clear sky
18,Jamestown,US,2022-11-04 17:31:21,42.097,-79.2353,71.19,57,0,10.36,clear sky
