City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Biak,ID,2022-11-01 16:24:46,-0.9131,122.8766,76.41,86,98,2.15
1,Norman Wells,CA,2022-11-01 16:24:46,65.282,-126.8329,3.24,78,100,3.44
2,Vaini,TO,2022-11-01 16:24:47,-21.2,-175.2,75.36,25,100,3.44
3,Rikitea,PF,2022-11-01 16:24:47,-23.1203,-134.9692,70.52,75,32,25.61
4,Nikolskoye,RU,2022-11-01 16:24:47,59.7035,30.7861,48.09,95,82,4.61
5,Mataura,NZ,2022-11-01 16:24:48,-46.1927,168.8643,65.48,63,100,3.94
6,Gainesville,US,2022-11-01 16:20:28,29.6516,-82.3248,83.07,65,0,5.75
7,Samarai,PG,2022-11-01 16:24:48,-10.6167,150.6667,81.14,78,15,5.59
8,Mahebourg,MU,2022-11-01 16:24:49,-20.4081,57.7,73.69,83,40,6.91
9,Acari,PE,2022-11-01 16:24:49,-15.4311,-74.6158,77.76,46,34,10.56
10,Dzierzoniow,PL,2022-11-01 16:24:50,50.7282,16.6514,57.22,94,100,6.02
11,Villa Carlos Paz,AR,2022-11-01 16:24:50,-31.4241,-64.4978,72.39,14,0,4.0
12,Megion,RU,2022-11-01 16:24:50,61.0296,76.1136,33.82,94,100,10.2
13,Parapotamos,GR,2022-11-01 16:24:51,39.5492,20.3228,71.37,61,4,2.77
14,Komsomolskiy,UZ,2022-11-01 16:24:51,40.4272,71.7189,50.72,81,81,2.3
15,Punta Arenas,CL,2022-11-01 16:24:20,-53.15,-70.9167,53.71,37,0,29.93
16,Sakakah,SA,2022-11-01 16:24:52,29.9697,40.2064,78.37,30,96,9.42
17,Banjar,ID,2022-11-01 16:24:52,-8.19,114.9675,77.27,89,94,4.38
18,Cape Town,ZA,2022-11-01 16:23:26,-33.9258,18.4232,82.11,41,0,17.27
19,Bluff,NZ,2022-11-01 16:24:53,-46.6,168.3333,65.8,67,94,13.6
20,Georgetown,MY,2022-11-01 16:24:54,5.4112,100.3354,81.9,85,20,3.44
21,Mackenzie,CA,2022-11-01 16:24:54,55.2999,-123.1698,25.02,86,100,4.61
22,Hilo,US,2022-11-01 16:24:54,19.7297,-155.09,72.1,94,100,4.61
23,Victoria,HK,2022-11-01 16:22:48,22.2855,114.1577,72.32,78,99,21.0
24,Aklavik,CA,2022-11-01 16:24:55,68.2191,-135.0107,-9.56,100,98,5.99
25,Takab,IR,2022-11-01 16:24:55,36.4009,47.1133,50.02,52,2,14.27
26,Havelock,US,2022-11-01 16:24:47,34.8791,-76.9013,77.0,87,47,5.01
27,Bonfim,BR,2022-11-01 16:24:56,3.0833,-59.95,91.89,47,49,5.12
28,Albany,US,2022-11-01 16:20:05,42.6001,-73.9662,65.23,81,95,1.5
29,Ushuaia,AR,2022-11-01 16:21:35,-54.8,-68.3,47.86,66,75,28.77
30,Clyde River,CA,2022-11-01 16:24:57,70.4692,-68.5914,1.63,66,75,3.44
31,Muros,ES,2022-11-01 16:24:57,42.7762,-9.0603,61.09,87,53,9.51
32,Glenwood Springs,US,2022-11-01 16:24:58,39.5505,-107.3248,47.43,43,0,8.05
33,San Cristobal,VE,2022-11-01 16:24:58,7.7669,-72.225,77.18,51,53,6.51
34,Mar Del Plata,AR,2022-11-01 16:24:58,-38.0023,-57.5575,65.82,58,0,11.99
35,Hovd,MN,2022-11-01 16:24:59,48.0056,91.6419,30.24,48,99,0.29
36,Koson,UZ,2022-11-01 16:24:59,39.0375,65.585,64.72,33,81,9.24
37,Jieshi,CN,2022-11-01 16:25:00,22.8134,115.8257,70.47,71,100,24.94
38,New Norfolk,AU,2022-11-01 16:25:00,-42.7826,147.0587,42.3,72,5,3.51
39,Kanye,BW,2022-11-01 16:25:00,-24.9667,25.3327,72.34,48,36,18.45
40,Pevek,RU,2022-11-01 16:25:01,69.7008,170.3133,3.13,96,100,5.14
41,Springfield,US,2022-11-01 16:25:01,37.2153,-93.2982,67.86,58,0,9.22
42,Sivaki,RU,2022-11-01 16:25:02,52.6333,126.75,21.07,92,100,6.15
43,Cherskiy,RU,2022-11-01 16:25:02,68.75,161.3,-21.19,100,99,5.37
44,Santo Antonio Do Ica,BR,2022-11-01 16:25:03,-3.1022,-67.9397,89.28,67,63,2.95
45,Avarua,CK,2022-11-01 16:25:03,-21.2078,-159.775,71.65,88,75,10.36
46,Husavik,IS,2022-11-01 16:25:04,66.0449,-17.3389,34.9,94,100,8.7
47,Castro,BR,2022-11-01 16:26:04,-24.7911,-50.0119,48.94,94,100,9.42
48,Cabo San Lucas,MX,2022-11-01 16:23:23,22.8909,-109.9124,79.11,69,20,0.0
49,Pital,CO,2022-11-01 16:26:05,2.2665,-75.8044,78.4,68,84,3.94
50,Atuona,PF,2022-11-01 16:26:05,-9.8,-139.0333,76.05,70,0,8.88
51,Aranos,NA,2022-11-01 16:26:06,-24.1333,19.1167,81.84,34,82,20.36
52,Tuktoyaktuk,CA,2022-11-01 16:26:06,69.4541,-133.0374,10.4,72,100,9.22
53,Alyangula,AU,2022-11-01 16:26:07,-13.8483,136.4192,83.84,77,7,8.99
54,Puerto Escondido,MX,2022-11-01 16:26:07,15.85,-97.0667,86.83,58,0,3.44
55,Yazd,IR,2022-11-01 16:24:55,31.8972,54.3675,69.91,26,40,6.91
56,Newport,GB,2022-11-01 16:22:02,51.5877,-2.9984,54.14,84,97,26.37
57,Jasper,US,2022-11-01 16:25:31,37.2001,-94.3502,69.39,47,0,6.91
58,Thompson,CA,2022-11-01 16:26:08,55.7435,-97.8558,17.76,79,75,2.3
59,Port Augusta,AU,2022-11-01 16:26:09,-32.5,137.7667,50.68,60,10,16.31
60,Provideniya,RU,2022-11-01 16:26:09,64.3833,-173.3,29.39,83,100,29.75
61,Chokurdakh,RU,2022-11-01 16:26:09,70.6333,147.9167,-16.2,100,97,6.13
62,Hithadhoo,MV,2022-11-01 16:26:11,-0.6,73.0833,82.0,78,89,15.19
63,Magdagachi,RU,2022-11-01 16:26:12,53.45,125.8,24.13,96,100,3.51
64,Ponta Do Sol,PT,2022-11-01 16:26:12,32.6667,-17.1,72.72,92,92,7.34
65,Tautira,PF,2022-11-01 16:26:13,-17.7333,-149.15,76.89,83,100,17.4
66,Thanh Hoa,VN,2022-11-01 16:26:13,19.8,105.7667,67.82,65,33,4.05
67,Concarneau,FR,2022-11-01 16:26:14,47.875,-3.9225,61.83,75,45,22.41
68,Jamestown,US,2022-11-01 16:26:14,42.097,-79.2353,59.02,93,100,8.05
69,Hermanus,ZA,2022-11-01 16:26:15,-34.4187,19.2345,68.81,61,2,22.17
70,Batemans Bay,AU,2022-11-01 16:26:15,-35.7167,150.1833,50.83,62,95,10.4
71,Poltava,UA,2022-11-01 16:26:16,49.5937,34.5407,39.43,59,21,6.58
72,Saint-Philippe,RE,2022-11-01 16:26:17,-21.3585,55.7679,74.79,84,53,9.84
73,Port Alfred,ZA,2022-11-01 16:26:17,-33.5906,26.891,65.17,82,81,5.99
